,Unnamed: 0,Open,High,Low,Close,Adj,Close.1,Volume
0,Date,,,,,,,
1,2012-01-03,26.55,26.96,26.39,26.77,,21.28,64731500.0
2,2012-01-04,26.82,27.47,26.78,27.4,,21.78,80516100.0
3,2012-01-05,27.38,27.73,27.29,27.68,,22.0,56081400.0
4,2012-01-06,27.53,28.19,27.53,28.11,,22.34,99455500.0
5,2012-01-09,28.05,28.1,27.72,27.74,,22.05,59706800.0
6,2012-01-10,27.93,28.15,27.75,27.84,,22.13,60014400.0
7,2012-01-11,27.43,27.98,27.37,27.72,,22.03,65582400.0
8,2012-01-12,27.87,28.02,27.65,28.0,,22.26,49370800.0
9,2012-01-13,27.93,28.25,27.79,28.25,,22.45,60196100.0
10,2012-01-17,28.4,28.65,28.17,28.26,,22.46,72395300.0
11,2012-01-18,28.31,28.4,27.97,28.23,,22.44,64860600.0
12,2012-01-19,28.16,28.44,28.03,28.12,,22.35,74053500.0
13,2012-01-20,28.82,29.74,28.75,29.71,,23.61,165902900.0
14,2012-01-23,29.55,29.95,29.35,29.73,,23.63,76078100.0
15,2012-01-24,29.47,29.57,29.18,29.34,,23.32,51703300.0
16,2012-01-25,29.07,29.65,29.07,29.56,,23.5,59231700.0
17,2012-01-26,29.61,29.7,29.4,29.5,,23.45,49102800.0
18,2012-01-27,29.45,29.53,29.17,29.23,,23.23,44187700.0
19,2012-01-30,28.97,29.62,28.83,29.61,,23.54,51114800.0
20,2012-01-31,29.66,29.7,29.23,29.53,,23.47,50572400.0
21,2012-02-01,29.79,30.05,29.76,29.89,,23.76,67409900.0
22,2012-02-02,29.9,30.17,29.71,29.95,,23.81,52223300.0
23,2012-02-03,30.14,30.4,30.09,30.24,,24.04,41838500.0
24,2012-02-06,30.04,30.22,29.97,30.2,,24.0,28039700.0
25,2012-02-07,30.15,30.49,30.05,30.35,,24.12,39242400.0
26,2012-02-08,30.26,30.67,30.22,30.66,,24.37,49659100.0
27,2012-02-09,30.68,30.8,30.48,30.77,,24.46,50481600.0
28,2012-02-10,30.64,30.8,30.36,30.5,,24.24,44605300.0
29,2012-02-13,30.63,30.77,30.43,30.58,,24.31,33319800.0
30,2012-02-14,30.33,30.46,29.85,30.25,,24.2,59644000.0
31,2012-02-15,30.33,30.39,30.03,30.05,,24.04,43311300.0
32,2012-02-16,30.31,31.55,30.3,31.29,,25.03,94705100.0
33,2012-02-17,31.2,31.32,30.95,31.25,,25.0,70036500.0
34,2012-02-21,31.18,31.61,31.15,31.44,,25.15,50829900.0
35,2012-02-22,31.45,31.68,31.18,31.27,,25.02,49253200.0
36,2012-02-23,31.2,31.59,31.0,31.37,,25.1,35034700.0
37,2012-02-24,31.48,31.5,31.24,31.48,,25.19,35575400.0
38,2012-02-27,31.24,31.5,31.1,31.35,,25.08,34568400.0
39,2012-02-28,31.41,31.93,31.38,31.87,,25.5,45230600.0
40,2012-02-29,31.89,32.0,31.61,31.74,,25.39,59323600.0
41,2012-03-01,31.93,32.39,31.85,32.29,,25.83,77344100.0
42,2012-03-02,32.31,32.44,32.0,32.08,,25.67,47314200.0
43,2012-03-05,32.01,32.05,31.62,31.8,,25.44,45240000.0
44,2012-03-06,31.54,31.98,31.49,31.56,,25.25,51932900.0
45,2012-03-07,31.67,31.92,31.53,31.84,,25.47,34340400.0
46,2012-03-08,32.04,32.21,31.9,32.01,,25.61,36747400.0
47,2012-03-09,32.1,32.16,31.92,31.99,,25.59,34628400.0
48,2012-03-12,31.97,32.2,31.82,32.04,,25.63,34073600.0
49,2012-03-13,32.24,32.69,32.15,32.67,,26.14,48951700.0
50,2012-03-14,32.53,32.88,32.49,32.77,,26.22,41986900.0
51,2012-03-15,32.79,32.94,32.58,32.85,,26.28,49068300.0
52,2012-03-16,32.91,32.95,32.5,32.6,,26.08,65626400.0
53,2012-03-19,32.54,32.61,32.15,32.2,,25.76,44789200.0
54,2012-03-20,32.1,32.15,31.74,31.99,,25.59,41566800.0
55,2012-03-21,31.96,32.15,31.82,31.91,,25.53,37928600.0
56,2012-03-22,31.81,32.09,31.79,32.0,,25.6,31749500.0
57,2012-03-23,32.1,32.11,31.72,32.01,,25.61,35912200.0
58,2012-03-26,32.19,32.61,32.15,32.59,,26.07,36758300.0
59,2012-03-27,32.65,32.7,32.4,32.52,,26.02,36274900.0
60,2012-03-28,32.52,32.7,32.04,32.19,,25.75,41344800.0
61,2012-03-29,32.06,32.19,31.81,32.12,,25.7,37038500.0
62,2012-03-30,32.4,32.41,32.04,32.26,,25.81,31749400.0
63,2012-04-02,32.22,32.46,31.95,32.29,,25.83,35853600.0
64,2012-04-03,32.16,32.19,31.66,31.94,,25.55,42752100.0
65,2012-04-04,31.66,31.69,31.05,31.21,,24.97,49455900.0
66,2012-04-05,31.15,31.63,31.05,31.52,,25.22,50368600.0
67,2012-04-09,31.22,31.4,30.97,31.1,,24.88,31056400.0
68,2012-04-10,31.06,31.19,30.3,30.47,,24.38,54131300.0
69,2012-04-11,30.43,30.53,30.23,30.35,,24.28,43014000.0
70,2012-04-12,30.48,31.04,30.42,30.98,,24.79,38304000.0
71,2012-04-13,30.89,31.16,30.72,30.81,,24.65,39749200.0
72,2012-04-16,30.99,31.19,30.77,31.08,,24.87,38124800.0
73,2012-04-17,31.27,31.61,31.2,31.44,,25.15,34361500.0
74,2012-04-18,31.28,31.31,31.04,31.14,,24.91,40552900.0
75,2012-04-19,31.13,31.68,30.94,31.01,,24.81,54781200.0
76,2012-04-20,32.15,32.89,32.05,32.42,,25.94,106045000.0
77,2012-04-23,32.31,32.5,32.03,32.12,,25.7,61398200.0
78,2012-04-24,32.21,32.52,31.83,31.92,,25.54,40871100.0
79,2012-04-25,31.92,32.32,31.87,32.2,,25.76,62495500.0
80,2012-04-26,32.12,32.23,31.92,32.11,,25.69,40308100.0
81,2012-04-27,32.12,32.22,31.88,31.98,,25.59,41419100.0
82,2012-04-30,31.98,32.11,31.92,32.02,,25.62,35697200.0
83,2012-05-01,32.05,32.34,31.95,32.01,,25.61,43832300.0
